session_id,timestamp,game_mode,avatar_gender,item_type,item_height_level,item_x_spawn,hand_max_y_pixel,hand_max_x_pixel,hand_min_x_pixel,reaction_time_sec,outcome,score_change,tremor_score,session_score_final,session_duration_sec
20260416_115453,2026-04-16 11:55:01,full_range,male,orange,5,648,508,658,597,3.56,caught,10,18.06,10,8.4
20260416_115453,2026-04-16 11:55:02,full_range,male,apple,3,678,466,740,600,0.89,caught,10,29.87,20,9.3
20260416_115453,2026-04-16 11:55:04,full_range,male,banana,3,294,479,463,319,1.81,caught,10,11.6,30,11.1
20260416_115453,2026-04-16 11:55:06,full_range,male,banana,4,846,463,863,809,2.19,caught,10,13.69,40,13.3
20260416_115453,2026-04-16 11:55:07,full_range,male,orange,2,667,570,817,635,0.98,caught,10,30.27,50,14.3
20260416_115453,2026-04-16 11:55:08,full_range,male,apple,1,802,664,820,715,1.51,caught,10,29.18,60,15.8
20260416_115453,2026-04-16 11:55:17,full_range,male,bomb,3,495,519,876,438,8.03,avoided,5,0.0,65,24.6
20260416_115453,2026-04-16 11:55:25,full_range,male,orange,2,307,435,697,456,8.0,missed,0,0.0,65,32.6
20260416_115453,2026-04-16 11:55:27,full_range,male,orange,4,394,431,729,356,1.72,caught,10,23.59,75,34.3
20260416_115453,2026-04-16 11:55:28,full_range,male,orange,2,865,570,866,434,1.31,caught,10,21.64,85,35.6
20260416_115453,2026-04-16 11:55:33,full_range,male,fish_bone,4,853,489,804,581,5.02,mistake,-5,0.0,80,40.6
20260416_115453,2026-04-16 11:55:38,full_range,male,apple,3,273,616,767,328,4.5,caught,10,10.3,90,45.1
20260416_115453,2026-04-16 11:55:40,full_range,male,apple,3,789,555,847,415,1.81,caught,10,6.56,100,46.9
20260416_115453,2026-04-16 11:55:41,full_range,male,apple,3,825,487,893,709,1.21,caught,10,14.65,110,48.1
20260416_115453,2026-04-16 11:55:42,full_range,male,bomb,1,549,674,800,599,1.34,mistake,-5,0.0,105,49.5
20260416_115453,2026-04-16 11:55:44,full_range,male,fish_bone,4,662,509,905,687,2.17,mistake,-5,0.0,100,51.7
20260416_115453,2026-04-16 11:55:46,full_range,male,orange,2,963,532,955,555,1.24,caught,10,11.47,110,52.9
20260416_115453,2026-04-16 11:55:47,full_range,male,banana,1,999,664,949,904,1.28,caught,10,6.02,120,54.2
20260416_115453,2026-04-16 11:55:50,full_range,male,banana,3,605,550,656,486,2.99,caught,10,18.95,130,57.5
20260416_115453,2026-04-16 11:55:53,full_range,male,orange,4,814,444,820,755,2.96,caught,10,11.38,140,60.5
20260416_115453,2026-04-16 11:55:54,full_range,male,orange,3,604,472,804,587,1.08,caught,10,11.23,150,61.5
20260416_115453,2026-04-16 11:55:55,full_range,male,apple,3,783,462,762,638,1.08,caught,10,10.22,160,62.6
20260416_115453,2026-04-16 11:56:03,full_range,male,bomb,1,761,475,650,603,8.01,avoided,5,0.0,165,70.8
20260416_115453,2026-04-16 11:56:06,full_range,male,apple,5,799,261,848,737,2.83,caught,10,6.58,175,73.7
20260416_115453,2026-04-16 11:56:08,full_range,male,apple,3,436,439,767,475,1.34,caught,10,7.64,185,75.0
20260416_115453,2026-04-16 11:56:09,full_range,male,orange,2,491,617,536,461,0.94,caught,10,26.93,195,75.9
